Achromobacter_insuavis	GCF_000219745.1_ASM21974v1_genomic
Enterococcus_haemoperoxidus	GCF_000407165.1_Ente_haem_BAA-382_V2_genomic
Enterococcus_hermanniensis	GCF_001885945.1_ASM188594v1_genomic
Enterococcus_hirae	GCF_002278015.1_ASM227801v1_genomic
Enterococcus_italicus	GCF_000185365.1_ASM18536v1_genomic
Enterococcus_malodoratus	GCF_000407185.1_Ente_malo_ATCC43197_V2_genomic
Enterococcus_massiliensis	GCF_001050095.1_Enterococcus_massiliensis_genomic
Enterococcus_moraviensis	GCF_000394015.1_Ente_mora_BAA-383_V1_genomic
Enterococcus_mundtii	GCF_002216705.1_ASM221670v1_genomic
Enterococcus_pallens	GCF_000407485.1_Ente_pall_BAA-351_V2_genomic
Enterococcus_pernyi	GCF_001601555.1_ASM160155v1_genomic
Enterococcus_phoeniculicola	GCF_000394035.1_Ente_phoe_BAA-412_V1_genomic
Enterococcus_plantarum	GCF_001730295.1_ASM173029v1_genomic
Enterococcus_pseudoavium	GCF_001544295.1_ASM154429v1_genomic
Enterococcus_quebecensis	GCF_001730365.1_ASM173036v1_genomic
Enterococcus_raffinosus	GCF_000393895.1_Ente_raff_ATCC49464_V1_genomic
Enterococcus_ratti	GCF_001886195.1_ASM188619v1_genomic
Enterococcus_rivorum	GCF_001742285.1_ASM174228v1_genomic
Enterococcus_rotai	GCA_001465345.1_ASM146534v1_genomic
Enterococcus_saccharolyticus	GCF_000407285.1_Ente_sacc_ATCC43076_V2_genomic
Enterococcus_silesiacus	GCA_001465115.1_ASM146511v1_genomic
Enterococcus_sulfureus	GCF_000407605.1_Ente_sulf_ATCC49903_V2_genomic
Enterococcus_termitis	GCF_002140675.1_ASM214067v1_genomic
Enterococcus_thailandicus	GCF_002290025.1_ASM229002v1_genomic
Enterococcus_ureasiticus	GCF_001730285.1_ASM173028v1_genomic
Enterococcus_ureilyticus	GCF_001730315.1_ASM173031v1_genomic
Enterococcus_villorum	GCF_000407205.1_Ente_vill_ATCC700913_V2_genomic
Erwinia_billingiae	GCF_000196615.1_ASM19661v1_genomic
Erwinia_gerundensis	GCF_001517405.1_EM595_genomic
Erwinia_iniecta	GCF_001267535.1_ASM126753v1_genomic
Erwinia_mallotivora	GCF_000590885.1_MSR-CA7.0_genomic
Erwinia_oleae	GCF_000770305.1_ASM77030v1_genomic
Erwinia_persicina	GCF_001571305.1_ASM157130v1_genomic
Erwinia_piriflorinigrans	GCF_001050515.1_ASM105051v1_genomic
Erwinia_pyrifoliae	GCF_000027265.1_ASM2726v1_genomic
Erwinia_tasmaniensis	GCF_000026185.1_ASM2618v1_genomic
Erwinia_teleogrylli	GCF_001484765.1_ASM148476v1_genomic
Erwinia_toletana	GCF_000336255.1_v1.0_genomic
Erwinia_tracheiphila	GCF_000975275.1_ASM97527v1_genomic
Erwinia_typographi	GCF_000773975.1_ASM77397v1_genomic
Escherichia_coli	GCF_000026345.1_ASM2634v1_genomic
Escherichia_fergusonii	GCF_001471755.1_ASM147175v1_genomic
Escherichia_marmotae	GCF_000807695.1_ASM80769v3_genomic
Escherichia_vulneris	GCF_000759795.1_ASM75979v1_genomic
Flavobacterium_akiainvivens	GCF_001278115.1_ASM127811v1_genomic
Flavobacterium_anhuiense	GCF_900101855.1_IMG-taxon_2596583647_annotated_assembly_genomic
Flavobacterium_antarcticum	GCF_000419685.1_ASM41968v1_genomic
Flavobacterium_aquatile	GCF_000757385.1_ASM75738v1_genomic
Flavobacterium_aquidurense	GCF_001404985.1_ASM140498v1_genomic
Flavobacterium_araucananum	GCF_002222055.1_ASM222205v1_genomic
Flavobacterium_beibuense	GCF_000769915.1_ASM76991v1_genomic
Flavobacterium_branchiophilum	GCF_000253275.1_ASM25327v1_genomic
Flavobacterium_caeni	GCF_900101895.1_IMG-taxon_2596583574_annotated_assembly_genomic
Flavobacterium_cauense	GCF_000498475.1_Fcau1.0_genomic
Flavobacterium_chilense	GCF_001602525.1_ASM160252v1_genomic
Flavobacterium_chungangense	GCF_000735715.2_ASM73571v2_genomic
Flavobacterium_columnare	GCF_000240075.2_ASM24007v2_genomic
Flavobacterium_communis	GCF_001857965.1_ASM185796v1_genomic
Flavobacterium_crassostreae	GCF_001831475.1_ASM183147v1_genomic
Flavobacterium_cucumis	GCF_900148835.1_IMG-taxon_2698536819_annotated_assembly_genomic
Flavobacterium_daejeonense	GCF_001404975.1_ASM140497v1_genomic
Flavobacterium_defluvii	GCF_900129555.1_IMG-taxon_2695420958_annotated_assembly_genomic
Flavobacterium_degerlachei	GCF_900106645.1_IMG-taxon_2693429883_annotated_assembly_genomic
Flavobacterium_denitrificans	GCF_000425445.1_ASM42544v1_genomic
Flavobacterium_enshiense	GCF_000498495.1_Fens1.0_genomic
Flavobacterium_filum	GCF_000425465.1_ASM42546v1_genomic
Flavobacterium_flevense	GCF_900142775.1_IMG-taxon_2700988729_annotated_assembly_genomic
Flavobacterium_fluvii	GCF_900129545.1_IMG-taxon_2695420956_annotated_assembly_genomic
Flavobacterium_fontis	GCF_900129405.1_IMG-taxon_2695420946_annotated_assembly_genomic
Flavobacterium_frigidarium	GCF_000425505.1_ASM42550v1_genomic
Flavobacterium_frigidimaris	GCF_900129595.1_IMG-taxon_2695420960_annotated_assembly_genomic
Flavobacterium_frigoris	GCF_000252125.1_ASM25212v2_genomic
Flavobacterium_fryxellicola	GCF_900143245.1_IMG-taxon_2695420925_annotated_assembly_genomic
Flavobacterium_gelidilacus	GCF_000422685.1_ASM42268v1_genomic
Flavobacterium_gillisiae	GCF_900107635.1_IMG-taxon_2693429912_annotated_assembly_genomic
Flavobacterium_gilvum	GCF_001761465.1_ASM176146v1_genomic
Flavobacterium_glycines	GCF_900100165.1_IMG-taxon_2660237900_annotated_assembly_genomic
Flavobacterium_granuli	GCF_900129705.1_IMG-taxon_2695420922_annotated_assembly_genomic
Flavobacterium_haoranii	GCF_900142055.1_IMG-taxon_2695421039_annotated_assembly_genomic
Flavobacterium_hercynium	GCF_002217285.1_ASM221728v1_genomic
Flavobacterium_hibernum	GCF_000832125.1_ASM83212v1_genomic
Flavobacterium_hydatis	GCF_002217335.1_ASM221733v1_genomic
Flavobacterium_indicum	GCF_000455605.1_GPTSA100-9_genomic
Flavobacterium_johnsoniae	GCF_000016645.1_ASM1664v1_genomic
Flavobacterium_limnosediminis	GCF_000498535.1_Flim1.0_genomic
Flavobacterium_marinum	GCF_900108395.1_IMG-taxon_2596583585_annotated_assembly_genomic
Flavobacterium_micromati	GCF_900129585.1_IMG-taxon_2695420959_annotated_assembly_genomic
Flavobacterium_noncentrifugens	GCF_900100375.1_IMG-taxon_2619618994_annotated_assembly_genomic
Flavobacterium_omnivorum	GCF_900099915.1_IMG-taxon_2617270789_annotated_assembly_genomic
Flavobacterium_oncorhynchi	GCF_002217355.1_ASM221735v1_genomic
Flavobacterium_pectinovorum	GCF_900142715.1_IMG-taxon_2698536748_annotated_assembly_genomic
Flavobacterium_phragmitis	GCF_900112575.1_IMG-taxon_2667527437_annotated_assembly_genomic
Flavobacterium_piscis	GCF_001686925.1_ASM168692v1_genomic
Flavobacterium_plurextorum	GCF_002217395.1_ASM221739v1_genomic
Flavobacterium_reichenbachii	GCF_000737685.1_ASM73768v1_genomic
Flavobacterium_rivuli	GCF_000378485.1_ASM37848v1_genomic
Flavobacterium_saccharophilum	GCF_900142735.1_IMG-taxon_2698536752_annotated_assembly_genomic
Flavobacterium_saliperosum	GCF_900100625.1_IMG-taxon_2596583547_annotated_assembly_genomic
Flavobacterium_sasangense	GCF_000686885.1_ASM68688v1_genomic
Flavobacterium_segetis	GCF_900129575.1_IMG-taxon_2695420957_annotated_assembly_genomic
Flavobacterium_seoulense	GCF_000695795.1_ASM69579v1_genomic
Flavobacterium_sinopsychrotolerans	GCF_900110375.1_IMG-taxon_2619618873_annotated_assembly_genomic
Flavobacterium_soli	GCF_000422705.1_ASM42270v1_genomic
Flavobacterium_spartansii	GCF_001853485.1_ASM185348v1_genomic
Flavobacterium_subsaxonicum	GCF_000422725.1_ASM42272v1_genomic
Flavobacterium_succinicans	GCF_000611675.1_ASM61167v1_genomic
Flavobacterium_suncheonense	GCF_000430025.1_ASM43002v1_genomic
Flavobacterium_swingsii	GCF_900111965.1_IMG-taxon_2599185297_annotated_assembly_genomic
Flavobacterium_tegetincola	GCF_000425485.1_ASM42548v1_genomic
Flavobacterium_terrae	GCF_900142035.1_IMG-taxon_2695421047_annotated_assembly_genomic
Flavobacterium_terrigena	GCF_900108955.1_IMG-taxon_2600255390_annotated_assembly_genomic
Flavobacterium_tructae	GCF_002217475.1_ASM221747v1_genomic
Flavobacterium_ummariense	GCF_900115115.1_IMG-taxon_2675903027_annotated_assembly_genomic
Flavobacterium_urocaniciphilum	GCF_900110615.1_IMG-taxon_2693429864_annotated_assembly_genomic
Flavobacterium_xanthum	GCF_900142695.1_IMG-taxon_2700988712_annotated_assembly_genomic
Flavobacterium_xinjiangense	GCF_900142885.1_IMG-taxon_2663762760_annotated_assembly_genomic
Flavobacterium_xueshanense	GCF_900112975.1_IMG-taxon_2617270785_annotated_assembly_genomic
Fusobacterium_equinum	GCF_001546395.1_ASM154639v1_genomic
Fusobacterium_gonidiaformans	GCF_000158835.2_Fuso_gon_ATCC25563_V2_genomic
Fusobacterium_hwasookii	GCF_001455085.1_ASM145508v1_genomic
Fusobacterium_massiliense	GCF_900095705.1_PRJEB15286_genomic
Fusobacterium_mortiferum	GCF_000158195.2_Fuso_mor_ATCC9817_V2_genomic
Fusobacterium_necrophorum	GCF_000242215.1_Fuso_necr_1_1_36S_V1_genomic
Fusobacterium_nucleatum	GCF_000007325.1_ASM732v1_genomic
Fusobacterium_perfoetens	GCF_000622245.1_ASM62224v1_genomic
Fusobacterium_periodonticum	GCF_000158215.3_Fuso_sp_2_1_31_V3_genomic
Fusobacterium_russii	GCF_000381725.1_ASM38172v1_genomic
Fusobacterium_ulcerans	GCF_000158315.2_Fuso_ulc_ATCC49185_V2_genomic
Fusobacterium_varium	GCF_002356455.1_ASM235645v1_genomic
Haemophilus_aegyptius	GCF_001679305.1_ASM167930v1_genomic
Haemophilus_ducreyi	GCF_000007945.1_ASM794v1_genomic
Haemophilus_haemoglobinophilus	GCF_002015075.1_ASM201507v1_genomic
Haemophilus_haemolyticus	GCF_001679445.1_ASM167944v1_genomic
Haemophilus_influenzae	GCF_000027305.1_ASM2730v1_genomic
Haemophilus_massiliensis	GCF_000752475.1_Haemophilus_massiliensis_genomic
Haemophilus_paracuniculus	GCF_002015115.1_ASM201511v1_genomic
Haemophilus_parahaemolyticus	GCF_002015035.1_ASM201503v1_genomic
Haemophilus_parainfluenzae	GCF_000210895.1_ASM21089v1_genomic
Haemophilus_paraphrohaemolyticus	GCF_002015045.1_ASM201504v1_genomic
Haemophilus_parasuis	GCF_000021885.1_ASM2188v1_genomic
Haemophilus_pittmaniae	GCF_900186995.1_50465_A02_genomic
Haemophilus_quentini	GCF_001752465.1_ASM175246v1_genomic
Haemophilus_somnus	GCF_000019405.1_ASM1940v1_genomic
Haemophilus_sputorum	GCF_000287615.1_HsputHK2154v1.0_genomic
Helicobacter_acinonychis	GCF_000009305.1_ASM930v1_genomic
Helicobacter_ailurogastricus	GCF_001282945.1_gastric_feline_helicobacters_genomic
Helicobacter_apodemus	GCF_000765745.1_ASM76574v1_genomic
Helicobacter_bilis	GCF_001999985.1_ASM199998v1_genomic
Helicobacter_bizzozeronii	GCF_000237285.1_ASM23728v1_genomic
Helicobacter_canadensis	GCF_000162575.1_ASM16257v1_genomic
Helicobacter_canis	GCF_000507865.1_Heli_cani_NCTC_12740_V1_genomic
Helicobacter_cetorum	GCF_000259275.1_ASM25927v1_genomic
Helicobacter_cinaedi	GCF_000349975.1_ASM34997v1_genomic
Helicobacter_felis	GCF_000200595.1_ASM20059v1_genomic
Helicobacter_fennelliae	GCF_000509365.1_ASM50936v1_genomic
Helicobacter_heilmannii	GCA_000319205.1_ASM31920v1_genomic
Helicobacter_hepaticus	GCF_000007905.1_ASM790v1_genomic
Helicobacter_himalayensis	GCF_001602095.1_ASM160209v1_genomic
Helicobacter_jaachi	GCF_000763135.1_ASM76313v1_genomic
Helicobacter_japonicus	GCF_000762845.1_ASM76284v1_genomic
Helicobacter_macacae	GCF_000507845.1_Heli_maca_MIT_99-5501_V1_genomic
Helicobacter_magdeburgensis	GCF_000765825.1_ASM76582v1_genomic
Helicobacter_muridarum	GCF_000765805.1_ASM76580v1_genomic
Helicobacter_mustelae	GCF_000091985.1_ASM9198v1_genomic
Helicobacter_pametensis	GCF_000518225.1_ASM51822v1_genomic
Helicobacter_pylori	GCF_000008525.1_ASM852v1_genomic
Helicobacter_rodentium	GCF_000687535.1_ASM68753v1_genomic
Helicobacter_saguini	GCF_000762875.1_ASM76287v1_genomic
Helicobacter_suis	GCF_001653055.1_ASM165305v1_genomic
Helicobacter_trogontum	GCF_000765905.1_ASM76590v1_genomic
Helicobacter_typhlonius	GCF_001460635.1_htyphlonius_mit97-6810_genomic
Helicobacter_winghamensis	GCF_000158455.1_ASM15845v1_genomic
Kingella_denitrificans	GCF_000190695.1_ASM19069v1_genomic
Kingella_negevensis	GCF_900177895.1_PRJEB20479_genomic
Kingella_oralis	GCF_000160435.1_ASM16043v1_genomic
Mesorhizobium_alhagi	GCF_000236565.1_ASM23656v2_genomic
Mesorhizobium_amorphae	GCF_001686985.1_ASM168698v1_genomic
Mesorhizobium_australicum	GCF_000230995.2_ASM23099v3_genomic
Mesorhizobium_ciceri	GCF_000474725.1_MciceriCa181_1.0_genomic
Mesorhizobium_erdmanii	GCF_000472705.1_ASM47270v1_genomic
Mesorhizobium_huakuii	GCF_000709395.1_ASM70939v1_genomic
Mesorhizobium_mediterraneum	GCF_002284565.1_ASM228456v1_genomic
Mesorhizobium_metallidurans	GCF_000350085.1_ASM35008v1_genomic
Mesorhizobium_muleiense	GCF_900099905.1_IMG-taxon_2675903064_annotated_assembly_genomic
Mesorhizobium_opportunistum	GCF_000176035.2_ASM17603v2_genomic
Mesorhizobium_plurifarium	GCF_000824785.1_Mesorhizobium_plurifarium_STM8773_genome_assembly_genomic
Mesorhizobium_prunaredense	GCF_900156895.1_BQ8794_STM4891T_genomic
Mesorhizobium_qingshengii	GCF_900103325.1_IMG-taxon_2596583656_annotated_assembly_genomic
Mesorhizobium_sophorae	GCF_002270415.1_ASM227041v1_genomic
Mesorhizobium_temperatum	GCF_002284575.1_ASM228457v1_genomic
Methanosarcina_acetivorans	GCF_000007345.1_ASM734v1_genomic
Methanosarcina_barkeri	GCF_000970305.1_ASM97030v1_genomic
Methanosarcina_flavescens	GCF_001304615.1_ASM130461v1_genomic
Methanosarcina_horonobensis	GCF_000970285.1_ASM97028v1_genomic
Methanosarcina_lacustris	GCF_000970265.1_ASM97026v1_genomic
Methanosarcina_siciliae	GCF_000970085.1_ASM97008v1_genomic
Methanosarcina_soligelidi	GCF_000744315.1_ASM74431v1_genomic
Methanosarcina_spelaei	GCF_002287235.1_ASM228723v1_genomic
Methanosarcina_thermophila	GCF_000969885.1_ASM96988v1_genomic
Methanosarcina_vacuolata	GCF_000969905.1_ASM96990v1_genomic
Mycobacterium_abscessus	GCF_000758225.1_ASM75822v1_genomic
Mycobacterium_acapulcensis	GCF_900089125.1_PRJEB14254_genomic
Mycobacterium_africanum	GCF_000253355.1_ASM25335v1_genomic
Mycobacterium_algericum	GCF_002086455.1_ASM208645v1_genomic
Mycobacterium_alsense	GCF_002086635.1_ASM208663v1_genomic
Mycobacterium_angelicum	GCF_002086155.1_ASM208615v1_genomic
Mycobacterium_aquaticum	GCF_002086485.1_ASM208648v1_genomic
Mycobacterium_aromaticivorans	GCF_000559085.1_ASM55908v2_genomic
Mycobacterium_arosiense	GCF_002086125.1_ASM208612v1_genomic
Mycobacterium_arupense	GCF_002086515.1_ASM208651v1_genomic
Mycobacterium_asiaticum	GCF_000613245.1_PRJEB5743_assembly_1_genomic
Mycobacterium_aurum	GCF_900078775.1_ASM90007877v1_genomic
Mycobacterium_austroafricanum	GCF_000612725.1_PRJEB5747_assembly_1_genomic
Mycobacterium_bacteremicum	GCF_002086115.1_ASM208611v1_genomic
Mycobacterium_boenickei	GCF_900166915.1_PRJEB19486_genomic
Mycobacterium_bohemicum	GCF_001053185.1_PRJEB5741_assembly_1_genomic
Mycobacterium_bouchedurhonense	GCF_002086165.1_ASM208616v1_genomic
Mycobacterium_bovis	GCF_000009445.1_ASM944v1_genomic
Mycobacterium_branderi	GCF_002086575.1_ASM208657v1_genomic
Mycobacterium_brisbanense	GCF_001570425.1_ASM157042v1_genomic
Mycobacterium_brumae	GCF_900073015.1_MBR1_genomic
Mycobacterium_canariasense	GCF_002101555.1_ASM210155v1_genomic
Mycobacterium_canettii	GCF_000253375.1_ASM25337v1_genomic
Mycobacterium_caprae	GCF_001941665.1_ASM194166v1_genomic
Mycobacterium_celatum	GCF_002101595.1_ASM210159v1_genomic
Mycobacterium_celeriflavum	GCF_002086175.1_ASM208617v1_genomic
Mycobacterium_chelonae	GCF_001632805.1_ASM163280v1_genomic
Mycobacterium_chimaera	GCF_002219285.1_ASM221928v1_genomic
Mycobacterium_chlorophenolicum	GCF_001044235.1_ASM104423v1_genomic
Mycobacterium_chubuense	GCF_000266905.1_ASM26690v1_genomic
Mycobacterium_colombiense	GCF_002105755.1_ASM210575v1_genomic
Mycobacterium_conceptionense	GCA_001052995.1_PRJEB5740_assembly_1_genomic
Mycobacterium_confluentis	GCF_002102105.1_ASM210210v1_genomic
Mycobacterium_conspicuum	GCF_002102095.1_ASM210209v1_genomic
Mycobacterium_cosmeticum	GCF_000613185.1_PRJEB5748_assembly_1_genomic
Mycobacterium_crocinum	GCA_001314145.1_ASM131414v1_genomic
Mycobacterium_diernhoferi	GCF_001907655.1_ASM190765v1_genomic
Mycobacterium_dioxanotrophicus	GCF_002157835.1_ASM215783v1_genomic
Mycobacterium_doricum	GCF_002102115.1_ASM210211v1_genomic
Mycobacterium_elephantis	GCF_002086605.1_ASM208660v1_genomic
Mycobacterium_engbaekii	GCF_002101585.1_ASM210158v1_genomic
Mycobacterium_europaeum	GCF_001373515.1_PRJEB8464_assembly_1_genomic
Mycobacterium_fallax	GCF_002101995.1_ASM210199v1_genomic
Mycobacterium_farcinogenes	GCF_000723385.1_PRJEB5746_assembly_1_genomic
Mycobacterium_flavescens	GCF_001722335.1_ASM172233v1_genomic
Mycobacterium_florentinum	GCF_002101635.1_ASM210163v1_genomic
Mycobacterium_fluoranthenivorans	GCA_001313385.1_ASM131338v1_genomic
Mycobacterium_fortuitum	GCF_001307545.1_ASM130754v1_genomic
Mycobacterium_fragae	GCF_002102185.1_ASM210218v1_genomic
Mycobacterium_franklinii	GCF_002013295.1_ASM201329v1_genomic
Mycobacterium_gastri	GCF_002102175.1_ASM210217v1_genomic
Mycobacterium_genavense	GCF_000526915.1_ASM52691v1_genomic
Mycobacterium_gilvum	GCF_000184435.1_ASM18443v1_genomic
Mycobacterium_goodii	GCF_001187505.1_ASM118750v1_genomic
Mycobacterium_gordonae	GCF_002101675.1_ASM210167v1_genomic
Mycobacterium_haemophilum	GCF_000340435.2_ASM34043v3_genomic
Mycobacterium_hassiacum	GCF_000379865.1_ASM37986v1_genomic
Mycobacterium_heckeshornense	GCF_001077755.1_ASM107775v1_genomic
Mycobacterium_heidelbergense	GCF_002086215.1_ASM208621v1_genomic
Mycobacterium_heraklionense	GCF_001021505.1_ASM102150v1_genomic
Mycobacterium_hiberniae	GCF_002101655.1_ASM210165v1_genomic
Mycobacterium_hodleri	GCA_001313805.1_ASM131380v1_genomic
Mycobacterium_holsaticum	GCF_001722355.1_ASM172235v1_genomic
Mycobacterium_houstonense	GCF_900078665.2_PRJEB13221_genomic
Mycobacterium_icosiumassiliensis	GCF_900078685.2_PRJEB13234_genomic
Mycobacterium_immunogenum	GCF_001605725.1_ASM160572v1_genomic
Mycobacterium_indicus	GCF_000298095.1_ASM29809v1_genomic
Mycobacterium_insubricum	GCF_002086255.1_ASM208625v1_genomic
Mycobacterium_interjectum	GCF_900078675.2_PRJEB13236_genomic
Mycobacterium_intermedium	GCF_001722345.1_ASM172234v1_genomic
Mycobacterium_intracellulare	GCF_000277125.1_ASM27712v1_genomic
Mycobacterium_iranicum	GCF_002101705.1_ASM210170v1_genomic
Mycobacterium_kansasii	GCF_000831305.1_ASM83130v1_genomic
Mycobacterium_komanii	GCF_001050035.1_Mycobacterium_komanii_GPK_1020_genomic
Mycobacterium_koreense	GCF_002104795.1_ASM210479v1_genomic
Mycobacterium_kubicae	GCF_002101745.1_ASM210174v1_genomic
Mycobacterium_kumamotonense	GCF_002086285.1_ASM208628v1_genomic
Mycobacterium_kyorinense	GCF_001439515.1_ASM143951v1_genomic
Mycobacterium_lacus	GCF_002102215.1_ASM210221v1_genomic
Mycobacterium_lentiflavum	GCF_001373395.1_PRJEB8430_assembly_1_genomic
Mycobacterium_leprae	GCF_000195855.1_ASM19585v1_genomic
Mycobacterium_lepraemurium	GCA_002291465.1_ASM229146v1_genomic
Mycobacterium_lepromatosis	GCF_000975265.1_ASM97526v1_genomic
Mycobacterium_liflandii	GCF_000026445.2_ASM2644v2_genomic
Mycobacterium_litorale	GCF_002007745.1_ASM200774v1_genomic
Mycobacterium_llatzerense	GCF_000878195.1_ASM87819v1_genomic
Mycobacterium_longobardum	GCF_002102265.1_ASM210226v1_genomic
Mycobacterium_mageritense	GCF_000612825.1_PRJEB5749_assembly_1_genomic
Mycobacterium_malmesburyense	GCF_001050015.1_Mycobacterium_malmesburii_WCM_7299_genomic
Mycobacterium_malmoense	GCF_002086305.1_ASM208630v1_genomic
Mycobacterium_mantenii	GCF_002086335.1_ASM208633v1_genomic
Mycobacterium_marinum	GCF_000723425.2_E11_genomic
Mycobacterium_marseillense	GCF_002285715.1_ASM228571v1_genomic
Mycobacterium_microti	GCA_001544815.1_ASM154481v1_genomic
Mycobacterium_minnesotense	GCF_002086405.1_ASM208640v1_genomic
Mycobacterium_monacense	GCF_002086655.1_ASM208665v1_genomic
Mycobacterium_moriokaense	GCF_002086395.1_ASM208639v1_genomic
Mycobacterium_mucogenicum	GCF_001291445.1_Mycobacterium_mucogenicum_genomic
Mycobacterium_mungi	GCF_001652545.1_ASM165254v1_genomic
Mycobacterium_nebraskense	GCF_001021495.1_ASM102149v1_genomic
Mycobacterium_neoaurum	GCF_000317305.3_ASM31730v3_genomic
Mycobacterium_neworleansense	GCF_001245615.1_Mycobacterium_neworleansense_assembly_1_genomic
Mycobacterium_nonchromogenicum	GCF_002101775.1_ASM210177v1_genomic
Mycobacterium_noviomagense	GCF_002086415.1_ASM208641v1_genomic
Mycobacterium_novocastrense	GCF_001570485.1_ASM157048v1_genomic
Mycobacterium_obuense	GCF_001044245.1_ASM104424v1_genomic
Mycobacterium_orygis	GCF_000353205.1_Morygis1.0_genomic
Mycobacterium_pallens	GCF_002335685.1_ASM233568v1_genomic
Mycobacterium_palustre	GCF_002101785.1_ASM210178v1_genomic
Mycobacterium_paraense	GCF_002102295.1_ASM210229v1_genomic
Mycobacterium_paraffinicum	GCF_001907675.1_ASM190767v1_genomic
Mycobacterium_parafortuitum	GCF_002086815.1_ASM208681v1_genomic
Mycobacterium_paraintracellulare	GCF_000276825.1_ASM27682v1_genomic
Mycobacterium_parascrofulaceum	GCF_000164135.1_ASM16413v1_genomic
Mycobacterium_paraseoulense	GCF_002086475.1_ASM208647v1_genomic
Mycobacterium_parmense	GCF_002102335.1_ASM210233v1_genomic
Mycobacterium_peregrinum	GCF_001403655.1_Mycobacterium_peregrinum_genomic
Mycobacterium_persicum	GCF_002086675.1_ASM208667v1_genomic
Mycobacterium_phlei	GCF_001583415.1_ASM158341v1_genomic
Mycobacterium_porcinum	GCF_002086835.1_ASM208683v1_genomic
Mycobacterium_pseudoshottsii	GCF_001515365.1_ASM151536v1_genomic
Mycobacterium_pyrenivorans	GCA_001314105.1_ASM131410v1_genomic
Mycobacterium_rhodesiae	GCF_000230895.2_ASM23089v3_genomic
Mycobacterium_riyadhense	GCF_002101845.1_ASM210184v1_genomic
Mycobacterium_rufum	GCA_001313925.1_ASM131392v1_genomic
Mycobacterium_rutilum	GCF_900108565.1_IMG-taxon_2636415969_annotated_assembly_genomic
Mycobacterium_salmoniphilum	GCF_002013645.1_ASM201364v1_genomic
Mycobacterium_saopaulense	GCF_001456355.1_ASM145635v1_genomic
Mycobacterium_saskatchewanense	GCF_002101875.1_ASM210187v1_genomic
Mycobacterium_scrofulaceum	GCF_001667885.1_ASM166788v1_genomic
Mycobacterium_senegalense	GCF_001021425.1_ASM102142v1_genomic
Mycobacterium_senuense	GCF_002101885.1_ASM210188v1_genomic
Mycobacterium_septicum	GCF_000455325.1_Mycobacterium_septicum_DSM44393T_genomic
Mycobacterium_setense	GCF_000805385.1_ASM80538v1_genomic
Mycobacterium_sherrisii	GCF_002102355.1_ASM210235v1_genomic
Mycobacterium_shigaense	GCF_002356315.1_ASM235631v1_genomic
Mycobacterium_shimoidei	GCF_002101905.1_ASM210190v1_genomic
Mycobacterium_shinjukuense	GCF_002086755.1_ASM208675v1_genomic
Mycobacterium_simiae	GCF_001584765.1_ASM158476v1_genomic
Mycobacterium_sinense	GCF_000214155.1_ASM21415v1_genomic
Mycobacterium_smegmatis	GCF_000015005.1_ASM1500v1_genomic
Mycobacterium_sphagni	GCF_002250655.1_ASM225065v1_genomic
Mycobacterium_stephanolepidis	GCF_002356335.1_ASM235633v1_genomic
Mycobacterium_szulgai	GCF_001667525.1_ASM166752v1_genomic
Mycobacterium_talmoniae	GCF_001854525.1_ASM185452v1_genomic
Mycobacterium_terrae	GCF_900187145.1_50818_H01_genomic
Mycobacterium_thermoresistibile	GCF_900187065.1_50465_H02_genomic
Mycobacterium_timonense	GCF_002086775.1_ASM208677v1_genomic
Mycobacterium_triplex	GCF_000689255.1_BN973_1_genomic
Mycobacterium_triviale	GCF_002102395.1_ASM210239v1_genomic
Mycobacterium_tuberculosis	GCF_000195955.2_ASM19595v2_genomic
Mycobacterium_tusciae	GCF_000243415.2_ASM24341v3_genomic
Mycobacterium_ulcerans	GCF_002356495.1_ASM235649v1_genomic
Mycobacterium_vaccae	GCF_001655245.1_ASM165524v1_genomic
Mycobacterium_vanbaalenii	GCF_000015305.1_ASM1530v1_genomic
Mycobacterium_vulneris	GCF_000612885.1_PRJEB5750_assembly_1_genomic
Mycobacterium_wolinskyi	GCF_002101965.1_ASM210196v1_genomic
Mycobacterium_xenopi	GCA_000523715.1_ASM52371v1_genomic
Mycobacterium_yongonense	GCF_002148175.1_ASM214817v1_genomic
Neisseria_animaloris	GCF_002108605.1_ASM210860v1_genomic
Neisseria_arctica	GCF_001027865.1_ASM102786v1_genomic
Neisseria_bacilliformis	GCF_000194925.1_ASM19492v1_genomic
Neisseria_canis	GCF_002108495.1_ASM210849v1_genomic
Neisseria_cinerea	GCF_000173895.1_ASM17389v1_genomic
Neisseria_dentiae	GCF_002108595.1_ASM210859v1_genomic
Neisseria_dumasiana	GCF_002108505.1_ASM210850v1_genomic
Neisseria_elongata	GCF_000818035.1_ASM81803v1_genomic
Neisseria_flavescens	GCF_000175275.1_ASM17527v1_genomic
Neisseria_lactamica	GCF_000196295.1_ASM19629v1_genomic
Neisseria_macacae	GCF_000220865.1_ASM22086v1_genomic
Neisseria_meningitidis	GCF_000008805.1_ASM880v1_genomic
Neisseria_mucosa	GCF_000186165.1_Neis_muco_C102_V1_genomic
Neisseria_perflava	GCF_001556395.1_ASM155639v1_genomic
Neisseria_polysaccharea	GCF_000176735.1_ASM17673v1_genomic
Neisseria_shayeganii	GCF_000226875.1_ASM22687v1_genomic
Neisseria_sicca	GCF_002073715.1_ASM207371v1_genomic
